objectid,wuname,wuc,hucarea,huc,swma,area_sqmi,st_areashape,st_perimetershape
406,Kalena,6090,1816783.14852,6090,0,0.70099998,1816815.85722317,8508.77781674101
333,Kaaiea,6044,2961193.66021,6044,0,1.14300001,2961251.2084434,19543.0746452513
334,Punaluu,6045,566149.326759,6045,0,0.219,566160.240789718,4671.19208778768
335,Kauaula,6007,21635236.5525,6007,0,8.35299969,21636090.6710453,24494.8714455511
338,Puohokamoa,6048,8156000.7816,6048,0,3.14899993,8156161.64900865,24788.8013609064
339,Haipuaena,6049,4069177.31164,6049,0,1.57099998,4069257.96429997,25822.5948081849
340,Punalau,6050,2966628.19031,6050,0,1.14499998,2966686.59965194,12943.0522330996
416,Pipiwai,4020,3102909.04551,4020,0,1.19799995,3102901.48895488,9521.52466326672
341,Nuaailua,6052,4010867.9389,6052,0,1.54900002,4010947.78383881,14625.2035067887
342,Piinaau,6053,56283573.0962,6053,0,2.1730001,56284843.4970032,49013.8566857874
343,Olowalu,6005,21543653.8845,6005,0,8.31799984,21544474.7029767,24840.0686242886
417,Kahiwa,4018,512441.669943,4018,0,0.198,512438.147132771,4018.76817405573
344,Launiupoko,6006,16930971.4719,6006,0,6.53700018,16931627.883637,18040.7900070533
345,Honomanu,6051,14365868.9337,6051,0,5.54699993,14366157.4648872,33499.092849066
419,Waiahookalo,4017,649696.946694,4017,0,0.25099999,649692.390551213,3839.36154995839
346,Waikapu,6001,42058146.8744,6001,1,1.62300003,42059645.9844222,32616.9656088834
347,Waiokamilo,6055,6341753.00117,6055,0,2.44899988,6341882.38504483,25879.06695033
349,Ukumehame,6004,21230068.1625,6004,0,8.19699955,21230862.537212,20539.1360884567
350,Wailuanui,6056,15505588.7774,6056,0,5.98699999,15505943.0875636,35809.7520217037
351,Pohakea,6002,21318899.4196,6002,0,8.23099995,21319671.3222852,28078.469662586
420,Kalaemilo,4016,492088.10902,4016,0,0.19,492084.612847316,4046.35327945017
352,W. Wailuaiki,6057,10705532.6951,6057,0,4.1329999,10705765.0984121,27646.8450029644
353,E. Wailuaiki,6058,9012916.16906,6058,0,3.48000002,9013112.18845018,27707.3414638243
354,Kopiliula,6059,13337292.659,6059,0,5.1500001,13337586.4229106,27680.7487419581
355,Waiakoa,6112,142974404.34,6112,0,5.51999998,142978808.568926,67401.4639187179
356,Waiohue,6060,2108500.27878,6060,0,0.81400001,2108543.85040299,12056.4861553183
362,Waiaaka,6062,486662.718231,6062,0,0.18799999,486672.777325065,5872.7873407029
357,Makapipi,6065,8523287.3426,6065,0,3.29099989,8523466.59071273,20951.9483333298
363,Kapaula,6063,2142141.27001,6063,0,0.82700002,2142185.82715418,11851.2765557423
358,Kuhiwa,6066,8746787.2965,6066,0,3.37700009,8746976.89906687,26089.5824004015
359,Hanawi,6064,14368417.3404,6064,0,5.54799986,14368731.4687483,26533.1918820912
360,Papalaua,6003,12519057.9482,6003,0,4.83400011,12519516.4893141,16297.8878439426
361,Paakea,6061,2680782.98346,6061,0,1.03499997,2680838.82294219,15440.4851535494
366,Kahawaihapapa,6069,9570822.79363,6069,0,3.69499993,9571031.05433876,25795.5728161544
367,Keaaiki,6070,2652053.62897,6070,0,1.02400005,2652110.08652587,16571.9315334528
368,Waioni,6071,1628097.97728,6071,0,0.62900001,1628132.74293907,12849.0243640322
370,Heleleikeoha,6073,8935680.80414,6073,0,3.45000005,8935875.40371815,26076.5659414521
371,Kawakoe,6074,10370647.2407,6074,0,4.00400019,10370871.1697841,20753.4275648523
372,Honomaele,6075,20354535.2797,6075,0,7.85900021,20354978.8195014,24526.1804027699
373,Kawaipapa,6076,27653304.3647,6076,0,1.06700003,27653794.0008858,35069.1636595181
377,Haneoo,6078,5472688.24163,6078,0,2.11299992,5472731.92490077,12720.4720470997
385,Wailua,6083,3240682.99109,6083,0,1.25100005,3240739.85824603,10385.361936484
378,Kapia,6079,12073915.5871,6079,0,4.66200018,12074110.9815726,20465.422551715
379,Kaupo,6100,57694844.3631,6100,0,2.227,57696225.9089165,54453.6181407996
380,Oheo,6089,24881207.2952,6089,0,9.60700035,24881714.3836497,34611.330117426
381,Koukouai,6091,11680559.8021,6091,0,4.51000023,11680801.7898529,28715.4907024185
382,Wailea,6110,91683696.4405,6110,0,3.53900003,91687059.3013051,45834.1258664586
383,Papahawahawa,6081,5024573.65141,6081,0,1.94000006,5024658.02091078,14556.3211587384
